gene1	gene2	Coexpression Network	Interactome Network
Pbr007826.1	Pbr013531.1	III	V
Pbr007783.2	Pbr025897.1	III	V
Pbr007784.1	Pbr025896.1	III	V
Pbr007785.1	Pbr025895.1	III	IV
Pbr007789.1	Pbr025891.1	IV	III
Pbr007791.1	Pbr025883.1	IV	III
Pbr007803.1	Pbr025872.1	IV	V
Pbr013579.1	Pbr031519.1	III	IV
Pbr013578.1	Pbr031520.1	II	V
Pbr009394.1	Pbr018937.1	IV	V
Pbr009396.1	Pbr018938.1	III	IV
Pbr009416.1	Pbr018965.1	IV	III
Pbr013631.1	Pbr031557.1	IV	V
Pbr013625.1	Pbr031551.1	IV	V
Pbr013618.2	Pbr031545.2	III	V
Pbr013614.1	Pbr031542.1	IV	III
Pbr013613.1	Pbr031541.1	III	II
Pbr013606.1	Pbr031539.1	III	IV
Pbr013601.1	Pbr031535.1	III	V
Pbr013597.1	Pbr031531.1	IV	V
Pbr013596.1	Pbr031530.1	IV	V
Pbr013592.1	Pbr031526.1	III	IV
Pbr018714.1	Pbr031561.1	IV	V
Pbr018715.1	Pbr031560.1	III	V
Pbr018723.1	Pbr031551.1	IV	V
Pbr009532.1	Pbr033728.1	III	V
Pbr009536.1	Pbr033731.1	IV	V
Pbr009538.1	Pbr042867.1	III	IV
Pbr009539.1	Pbr033742.2	IV	III
Pbr023933.2	Pbr008303.1	IV	III
Pbr023942.1	Pbr008297.1	III	V
Pbr023943.1	Pbr008296.1	III	V
Pbr023945.1	Pbr008294.2	III	IV
Pbr022062.2	Pbr008304.1	III	V
Pbr022075.1	Pbr008296.1	III	V
Pbr022091.1	Pbr008285.1	III	IV
Pbr022097.1	Pbr008280.1	IV	V
Pbr009423.1	Pbr035882.1	IV	V
Pbr009426.1	Pbr035889.1	IV	V
Pbr009437.1	Pbr042888.1	III	IV
Pbr009446.1	Pbr035921.1	IV	V
Pbr009466.1	Pbr035935.1	III	V
Pbr009469.1	Pbr035941.2	IV	I
Pbr009498.1	Pbr035975.1	III	V
Pbr009514.1	Pbr037916.1	IV	III
Pbr015696.1	Pbr001364.1	III	IV
Pbr015698.1	Pbr001361.1	IV	V
Pbr015700.1	Pbr001359.1	IV	V
Pbr015702.1	Pbr001357.1	III	V
Pbr015703.1	Pbr001356.1	III	IV
Pbr015705.1	Pbr001354.1	III	V
Pbr015706.1	Pbr001353.1	IV	V
Pbr015709.1	Pbr001352.2	III	V
Pbr015711.1	Pbr001349.1	IV	III
Pbr015712.1	Pbr001348.1	IV	V
Pbr031353.1	Pbr010873.1	III	IV
Pbr018644.1	Pbr010865.1	IV	V
Pbr018647.1	Pbr010864.1	III	V
Pbr018649.1	Pbr010859.2	IV	V
Pbr018652.1	Pbr010858.1	IV	V
Pbr018657.1	Pbr010854.1	IV	V
Pbr018658.1	Pbr010853.1	IV	V
Pbr018661.1	Pbr010851.1	IV	V
Pbr018663.1	Pbr010850.1	III	V
Pbr018664.1	Pbr010849.1	IV	III
Pbr018665.1	Pbr010848.1	IV	V
Pbr018667.1	Pbr010847.1	III	V
Pbr018674.1	Pbr010842.1	III	V
Pbr018676.1	Pbr010840.2	IV	V
Pbr018712.1	Pbr010813.1	IV	V
Pbr013625.1	Pbr010802.1	III	V
Pbr013621.1	Pbr010797.1	III	V
Pbr013618.2	Pbr010795.1	III	V
Pbr013616.1	Pbr010794.1	IV	V
Pbr013614.1	Pbr010792.1	IV	V
Pbr013609.1	Pbr010790.1	III	V
Pbr013601.1	Pbr010786.1	III	V
Pbr013597.1	Pbr010783.1	IV	V
Pbr013594.1	Pbr010779.1	III	IV
Pbr013592.1	Pbr010778.1	IV	V
Pbr018707.1	Pbr010824.1	IV	I
Pbr013633.1	Pbr010811.1	III	V
Pbr013631.1	Pbr010809.1	IV	V
Pbr018693.1	Pbr010824.1	IV	V
Pbr018723.1	Pbr010802.1	III	V
Pbr021050.1	Pbr010805.1	IV	V
Pbr027463.1	Pbr010797.1	IV	V
Pbr027457.1	Pbr010794.1	IV	II
Pbr027450.1	Pbr010790.1	IV	I
Pbr027439.1	Pbr010777.1	IV	V
Pbr021036.1	Pbr026736.1	IV	III
Pbr021039.1	Pbr026730.1	IV	I
Pbr021042.1	Pbr026722.1	III	IV
Pbr021056.1	Pbr026713.1	IV	V
Pbr021059.1	Pbr026705.1	IV	V
Pbr021062.1	Pbr026704.1	IV	V
Pbr029236.1	Pbr019776.1	IV	V
Pbr029238.1	Pbr019778.1	III	IV
Pbr029240.1	Pbr019780.1	IV	V
Pbr029241.1	Pbr019782.1	IV	V
Pbr029242.1	Pbr019783.2	III	IV
Pbr009373.1	Pbr020801.1	IV	V
Pbr009384.1	Pbr020786.1	IV	V
Pbr009398.1	Pbr011418.1	III	V
Pbr009408.1	Pbr011413.1	IV	V
Pbr009412.1	Pbr011408.1	IV	V
Pbr009416.1	Pbr011405.1	III	IV
Pbr009420.1	Pbr011403.1	IV	V
Pbr009421.1	Pbr011402.1	IV	V
Pbr009422.1	Pbr011401.1	IV	I
Pbr009424.1	Pbr011400.1	III	IV
Pbr009426.1	Pbr011398.1	III	V
Pbr009427.2	Pbr011397.1	III	V
Pbr009428.2	Pbr011396.1	IV	V
Pbr009429.1	Pbr011395.1	III	V
Pbr009435.1	Pbr011386.1	III	I
Pbr009440.2	Pbr011380.2	III	V
Pbr009441.2	Pbr011379.1	IV	V
Pbr009456.1	Pbr011374.1	II	IV
Pbr009466.1	Pbr011366.1	III	V
Pbr009470.1	Pbr011361.1	II	V
Pbr009471.1	Pbr011360.1	III	V
Pbr009474.1	Pbr011355.1	IV	V
Pbr009476.1	Pbr011353.1	III	V
Pbr009477.1	Pbr011351.1	III	V
Pbr009479.1	Pbr011350.1	IV	V
Pbr009482.1	Pbr011347.1	III	V
Pbr009485.1	Pbr011343.1	III	IV
Pbr009486.1	Pbr011342.2	IV	V
Pbr009496.1	Pbr011332.1	IV	V
Pbr009498.1	Pbr011330.1	IV	V
Pbr009500.1	Pbr011329.1	IV	V
Pbr009502.1	Pbr011327.1	III	V
Pbr029235.1	Pbr017983.1	I	V
Pbr029238.1	Pbr017980.2	I	V
Pbr029240.1	Pbr017978.1	I	IV
Pbr009385.1	Pbr003883.1	II	IV
Pbr009396.1	Pbr003855.1	III	IV
Pbr009398.1	Pbr003854.1	III	V
Pbr009415.2	Pbr003842.1	IV	V
Pbr009416.1	Pbr003841.1	III	IV
Pbr009456.1	Pbr042357.1	IV	V
Pbr009464.1	Pbr042350.1	IV	V
Pbr009477.1	Pbr042313.1	III	V
Pbr009501.1	Pbr042291.1	IV	V
Pbr009532.1	Pbr042194.1	IV	V
Pbr009558.1	Pbr013046.1	IV	III
Pbr009466.1	Pbr012389.1	IV	V
Pbr009469.1	Pbr012385.1	IV	V
Pbr009477.1	Pbr012357.1	III	IV
Pbr009486.1	Pbr012356.2	IV	V
Pbr009498.1	Pbr012348.1	IV	V
Pbr009423.1	Pbr040932.1	IV	V
Pbr009434.1	Pbr022621.1	III	V
Pbr009437.1	Pbr022626.2	III	IV
Pbr009514.1	Pbr021658.1	III	IV
Pbr009517.1	Pbr021654.1	IV	V
Pbr009536.1	Pbr021630.1	III	V
Pbr009537.3	Pbr021628.2	IV	V
Pbr027448.1	Pbr035046.1	III	V
Pbr027440.1	Pbr035065.1	IV	II
Pbr027426.1	Pbr035079.1	III	V
Pbr018370.1	Pbr035088.1	III	V
Pbr018383.1	Pbr035112.1	III	V
Pbr018390.1	Pbr035122.1	IV	V
Pbr018401.1	Pbr035143.1	IV	V
Pbr018411.1	Pbr035149.1	IV	V
Pbr013545.1	Pbr035122.1	IV	III
Pbr021036.1	Pbr024643.1	IV	V
Pbr021039.1	Pbr024641.1	IV	V
Pbr021042.1	Pbr014121.1	IV	V
Pbr021062.1	Pbr014146.1	III	V
Pbr021065.1	Pbr014159.2	IV	V
Pbr018664.1	Pbr036695.1	IV	III
Pbr018685.1	Pbr036685.1	IV	V
Pbr018688.1	Pbr024658.1	III	V
Pbr018712.1	Pbr014114.1	III	IV
Pbr018714.1	Pbr014123.1	III	V
Pbr018716.1	Pbr014124.1	III	V
Pbr007784.1	Pbr038608.1	III	V
Pbr007809.1	Pbr038584.1	I	IV
Pbr007810.1	Pbr038582.1	IV	V
Pbr013545.1	Pbr040089.1	IV	III
Pbr013543.1	Pbr040085.1	IV	V
Pbr013541.1	Pbr040084.1	III	IV
Pbr013540.2	Pbr040083.1	IV	V
Pbr013539.1	Pbr040081.1	III	IV
Pbr013535.6	Pbr040077.1	IV	V
Pbr042709.1	Pbr040076.1	III	V
Pbr013531.1	Pbr040072.1	IV	V
Pbr013521.1	Pbr040061.1	IV	V
Pbr013518.1	Pbr040056.1	I	V
Pbr013514.1	Pbr040050.1	IV	V
Pbr013513.1	Pbr040049.1	IV	III
Pbr013512.1	Pbr040045.1	IV	V
Pbr013509.1	Pbr040040.1	III	V
Pbr013508.1	Pbr040036.1	III	V
Pbr013507.1	Pbr040032.1	IV	III
Pbr013502.1	Pbr040028.1	III	IV
Pbr013499.1	Pbr040025.1	III	V
Pbr013496.1	Pbr040023.1	IV	III
Pbr013486.1	Pbr040017.1	III	V
Pbr013485.1	Pbr040016.1	I	IV
Pbr013484.1	Pbr040015.2	III	IV
Pbr013480.1	Pbr040011.1	III	V
Pbr013479.1	Pbr040010.2	III	IV
Pbr013477.1	Pbr040009.1	III	V
Pbr013476.1	Pbr040008.1	II	V
Pbr013473.1	Pbr040005.1	IV	I
Pbr013469.1	Pbr039999.1	IV	I
Pbr013468.1	Pbr039998.2	I	V
Pbr013466.3	Pbr039997.1	I	V
Pbr013465.2	Pbr039995.1	III	V
Pbr013464.2	Pbr039994.2	III	V
Pbr013463.1	Pbr039993.1	I	II
Pbr013458.1	Pbr039985.1	IV	V
Pbr013456.1	Pbr039980.1	IV	V
Pbr013453.1	Pbr039979.1	IV	V
Pbr013450.2	Pbr039976.1	IV	III
Pbr013445.1	Pbr039972.1	III	V
Pbr013444.1	Pbr039970.1	IV	V
Pbr013438.1	Pbr039965.1	I	III
Pbr009517.1	Pbr010895.1	II	IV
Pbr009519.1	Pbr010897.1	IV	V
Pbr009523.1	Pbr010900.1	IV	V
Pbr009529.1	Pbr010905.1	IV	V
Pbr009530.2	Pbr010906.1	IV	V
Pbr009532.1	Pbr010908.1	IV	V
Pbr009533.1	Pbr010909.1	III	V
Pbr009535.1	Pbr010912.1	II	IV
Pbr009536.1	Pbr010914.1	IV	III
Pbr009537.3	Pbr010915.1	IV	V
Pbr009538.1	Pbr010918.1	IV	V
Pbr009539.1	Pbr010919.1	III	V
Pbr009540.1	Pbr010921.1	III	V
Pbr009547.1	Pbr010927.1	III	V
Pbr009551.1	Pbr010930.1	III	V
Pbr009553.1	Pbr010931.1	IV	V
Pbr009554.1	Pbr010932.1	IV	V
Pbr009555.1	Pbr010933.1	IV	V
Pbr009556.1	Pbr010934.1	IV	V
Pbr009557.1	Pbr010935.1	IV	V
Pbr009560.1	Pbr010939.1	III	V
Pbr009564.1	Pbr010944.1	III	IV
Pbr009566.1	Pbr010945.1	III	V
Pbr009567.2	Pbr010946.1	III	IV
Pbr009568.1	Pbr010947.1	I	IV
Pbr032784.1	Pbr013906.1	IV	V
Pbr032782.1	Pbr013908.1	IV	I
Pbr032781.1	Pbr013909.1	IV	V
Pbr032772.1	Pbr013916.1	IV	V
Pbr032769.1	Pbr013918.1	III	IV
Pbr032766.2	Pbr013922.1	III	V
Pbr032764.1	Pbr013924.1	III	IV
Pbr032762.1	Pbr013927.1	III	IV
Pbr032761.1	Pbr013928.1	III	V
Pbr032758.1	Pbr013932.1	IV	V
Pbr009368.1	Pbr032368.1	III	V
Pbr009369.1	Pbr032369.1	IV	V
Pbr009373.1	Pbr032370.1	III	IV
Pbr009376.1	Pbr032376.1	I	III
Pbr009377.1	Pbr032377.1	IV	V
Pbr009380.1	Pbr032380.1	III	V
Pbr009383.1	Pbr042849.1	IV	V
Pbr009388.1	Pbr032386.3	I	II
Pbr009389.1	Pbr032387.2	III	V
Pbr031326.2	Pbr035368.1	IV	V
Pbr031337.1	Pbr035361.1	IV	V
Pbr031338.1	Pbr035360.1	IV	V
Pbr042837.1	Pbr035359.1	IV	V
Pbr031341.1	Pbr035357.1	III	V
Pbr031344.1	Pbr035354.1	III	IV
Pbr031346.2	Pbr035350.1	III	V
Pbr031347.1	Pbr035349.1	IV	III
Pbr031299.1	Pbr013962.1	IV	III
Pbr031300.1	Pbr013963.1	IV	V
Pbr031302.1	Pbr013965.1	IV	II
Pbr018390.1	Pbr040089.1	IV	V
Pbr018396.1	Pbr040081.1	III	IV
Pbr018403.1	Pbr040074.1	III	IV
Pbr018408.1	Pbr040071.1	III	IV
Pbr004085.1	Pbr029441.1	III	V
Pbr004087.1	Pbr029443.1	IV	V
Pbr021036.1	Pbr002284.1	IV	III
Pbr021050.1	Pbr021832.2	III	IV
Pbr007796.1	Pbr040055.1	III	V
Pbr007804.1	Pbr040064.2	IV	V
Pbr007810.1	Pbr040067.1	IV	V
Pbr007826.1	Pbr040072.1	IV	III
Pbr013567.1	Pbr002615.1	IV	V
Pbr013565.1	Pbr002612.1	III	V
Pbr013562.1	Pbr002607.1	IV	V
Pbr013560.1	Pbr002605.3	IV	V
Pbr013559.1	Pbr002603.1	IV	V
Pbr013558.1	Pbr002602.1	I	V
Pbr031313.1	Pbr004106.1	IV	V
Pbr031321.1	Pbr004100.1	III	V
Pbr017558.4	Pbr004887.1	III	V
Pbr036089.2	Pbr004888.1	IV	V
Pbr041606.1	Pbr004893.1	III	V
Pbr041607.1	Pbr004892.1	IV	V
Pbr041610.1	Pbr004888.1	IV	V
Pbr041611.1	Pbr004887.1	III	IV
Pbr013596.1	Pbr005423.2	IV	V
Pbr013595.1	Pbr005424.1	III	V
Pbr013594.1	Pbr005425.1	III	V
Pbr013592.1	Pbr005428.1	IV	V
Pbr013591.1	Pbr005429.1	II	V
Pbr013588.1	Pbr005432.1	IV	V
Pbr013587.1	Pbr005433.1	IV	V
Pbr021041.1	Pbr006046.1	IV	V
Pbr021042.1	Pbr006047.1	IV	V
Pbr021043.1	Pbr006048.1	IV	V
Pbr021050.1	Pbr006052.2	IV	V
Pbr015696.1	Pbr012683.1	III	IV
Pbr015699.1	Pbr012686.1	IV	V
Pbr015701.1	Pbr012689.1	IV	V
Pbr015704.1	Pbr012692.1	III	IV
Pbr015706.1	Pbr012694.1	IV	V
Pbr015707.1	Pbr012695.1	I	V
Pbr015720.1	Pbr012706.1	III	V
Pbr015723.1	Pbr012710.1	III	V
Pbr015729.2	Pbr012713.2	III	IV
Pbr015731.2	Pbr012715.2	III	V
Pbr015733.1	Pbr012717.1	I	V
Pbr015744.1	Pbr012730.1	I	V
Pbr015746.1	Pbr012732.1	III	V
Pbr015747.1	Pbr012733.1	IV	V
Pbr015749.1	Pbr012735.1	IV	V
Pbr015751.1	Pbr012737.1	IV	V
Pbr015752.1	Pbr012738.1	IV	V
Pbr015755.1	Pbr012741.1	I	V
Pbr015756.2	Pbr012742.1	IV	V
Pbr015758.1	Pbr012743.1	III	IV
Pbr015760.1	Pbr012747.1	IV	V
Pbr015764.1	Pbr012752.1	IV	V
Pbr015765.2	Pbr012753.1	III	V
Pbr015766.1	Pbr012754.1	IV	V
Pbr015767.1	Pbr012755.1	I	V
Pbr015768.1	Pbr012756.1	III	V
Pbr015771.1	Pbr012759.1	IV	V
Pbr017484.1	Pbr012705.1	IV	V
Pbr017485.1	Pbr012706.1	III	V
Pbr017488.1	Pbr012710.1	III	V
Pbr017493.1	Pbr012715.2	IV	V
Pbr017496.1	Pbr012717.1	III	V
Pbr017504.1	Pbr012729.1	IV	V
Pbr017507.1	Pbr012730.1	IV	V
Pbr017508.1	Pbr012731.1	IV	V
Pbr017510.2	Pbr012733.1	IV	V
Pbr017515.1	Pbr012738.1	II	V
Pbr017534.1	Pbr012752.1	IV	V
Pbr017536.1	Pbr012754.1	III	IV
Pbr017537.1	Pbr012755.1	III	V
Pbr017538.1	Pbr012756.1	III	V
Pbr017540.1	Pbr012759.1	IV	V
Pbr018644.1	Pbr021503.1	I	V
Pbr018647.1	Pbr021507.1	IV	V
Pbr018648.1	Pbr021508.1	III	V
Pbr018654.1	Pbr021515.1	III	V
Pbr018657.1	Pbr021518.1	III	V
Pbr018663.1	Pbr021524.1	III	V
Pbr018664.1	Pbr021525.1	III	V
Pbr018667.1	Pbr021529.2	IV	V
Pbr018671.1	Pbr021532.1	IV	V
Pbr018674.1	Pbr021535.1	III	V
Pbr018676.1	Pbr021537.1	IV	V
Pbr018648.1	Pbr021579.1	III	V
Pbr018649.1	Pbr021578.1	IV	V
Pbr018658.1	Pbr021568.1	IV	V
Pbr018661.1	Pbr021565.1	IV	V
Pbr018664.1	Pbr021561.1	I	III
Pbr018672.1	Pbr021556.1	III	V
Pbr018674.1	Pbr021554.1	III	V
Pbr018676.1	Pbr021552.1	IV	V
Pbr013576.1	Pbr022745.1	IV	V
Pbr013575.1	Pbr022746.1	III	V
Pbr013588.1	Pbr022742.1	III	V
Pbr013587.1	Pbr022741.1	III	V
Pbr013581.1	Pbr022737.1	IV	III
Pbr013580.2	Pbr022736.1	IV	V
Pbr013579.1	Pbr022735.1	IV	V
Pbr018377.1	Pbr024488.1	IV	V
Pbr018380.1	Pbr024493.1	III	V
Pbr018391.1	Pbr024499.1	III	IV
Pbr018392.1	Pbr024500.1	III	V
Pbr018398.1	Pbr024505.2	III	V
Pbr017477.1	Pbr031715.1	IV	V
Pbr017482.1	Pbr031720.1	III	I
Pbr017485.1	Pbr031724.1	III	V
Pbr017488.1	Pbr031727.1	III	V
Pbr017493.1	Pbr031733.1	IV	V
Pbr017501.1	Pbr031739.1	I	IV
Pbr017502.1	Pbr031740.1	I	IV
Pbr017503.1	Pbr031741.1	II	V
Pbr017504.1	Pbr031742.1	IV	V
Pbr017507.1	Pbr031743.1	III	V
Pbr017508.1	Pbr031744.1	IV	V
Pbr017509.1	Pbr031745.1	IV	V
Pbr017514.1	Pbr031749.1	III	V
Pbr017515.1	Pbr031750.1	I	V
Pbr017516.1	Pbr031751.1	III	IV
Pbr017519.1	Pbr031754.1	IV	V
Pbr017521.1	Pbr031757.1	III	I
Pbr015719.1	Pbr031723.1	III	V
Pbr015720.1	Pbr031724.1	IV	V
Pbr015723.1	Pbr031727.1	III	V
Pbr015731.2	Pbr031733.1	III	V
Pbr015738.1	Pbr031739.1	IV	V
Pbr015742.1	Pbr031740.1	IV	V
Pbr015744.1	Pbr031743.1	IV	V
Pbr015746.1	Pbr031745.1	IV	III
Pbr015749.1	Pbr031748.1	IV	V
Pbr015752.1	Pbr031750.1	III	V
Pbr015755.1	Pbr031753.1	IV	V
Pbr015756.2	Pbr031760.1	IV	V
Pbr010750.1	Pbr034528.1	IV	V
Pbr010748.1	Pbr034530.1	IV	V
Pbr010739.1	Pbr034534.1	I	V
Pbr010733.1	Pbr034528.1	IV	V
Pbr010732.1	Pbr034527.1	II	V
Pbr013574.1	Pbr038031.7	IV	V
Pbr013565.1	Pbr038036.1	III	V
Pbr013564.1	Pbr038037.1	IV	V
Pbr013560.1	Pbr038043.1	III	V
Pbr013559.1	Pbr038044.1	III	V
Pbr017554.2	Pbr038464.1	IV	V
Pbr017555.1	Pbr038466.1	IV	V
Pbr036088.1	Pbr038477.1	III	IV
Pbr036084.1	Pbr038479.1	IV	II
Pbr036065.1	Pbr038483.1	III	IV
Pbr041606.1	Pbr038479.1	III	V
Pbr041607.1	Pbr038478.1	III	V
Pbr041608.1	Pbr038477.1	IV	V
Pbr041609.1	Pbr038476.1	I	V
Pbr041611.1	Pbr038470.1	IV	V
Pbr041615.1	Pbr038466.1	IV	V
Pbr029178.1	Pbr042920.1	III	V
Pbr021479.1	Pbr031589.1	IV	V
Pbr021477.1	Pbr031591.1	IV	V
Pbr021476.3	Pbr031592.1	III	V
Pbr021475.1	Pbr031594.1	IV	V
Pbr021473.1	Pbr031596.1	IV	V
Pbr021472.1	Pbr031597.1	II	V
Pbr021469.1	Pbr031600.2	IV	V
Pbr021465.1	Pbr031604.1	IV	V
Pbr021461.1	Pbr031608.2	IV	V
Pbr021460.1	Pbr031609.1	III	V
Pbr021458.1	Pbr031611.1	III	IV
Pbr014928.1	Pbr024184.1	III	V
Pbr014926.1	Pbr024182.1	IV	V
Pbr014925.1	Pbr024181.1	III	V
Pbr014922.1	Pbr024178.1	III	V
Pbr014919.1	Pbr024175.1	III	V
Pbr014915.1	Pbr024171.1	IV	V
Pbr014914.1	Pbr024170.1	IV	V
Pbr014913.1	Pbr024169.1	III	V
Pbr014907.1	Pbr024164.1	III	V
Pbr031790.1	Pbr031354.1	IV	V
Pbr031795.1	Pbr031363.1	III	IV
Pbr031798.1	Pbr031366.2	IV	V
Pbr021217.1	Pbr039382.2	II	IV
Pbr021225.1	Pbr039374.1	IV	V
Pbr021230.1	Pbr039372.1	III	IV
Pbr040137.1	Pbr018253.1	IV	III
Pbr040139.1	Pbr018251.1	IV	V
Pbr040141.1	Pbr018249.2	III	IV
Pbr040144.1	Pbr018248.1	IV	III
Pbr040147.1	Pbr018245.1	IV	V
Pbr040149.1	Pbr018243.2	IV	III
Pbr038488.1	Pbr017613.1	IV	V
Pbr038491.1	Pbr017616.1	III	V
Pbr038498.1	Pbr017620.1	III	V
Pbr038501.1	Pbr017622.1	IV	V
Pbr038502.1	Pbr017623.1	IV	V
Pbr038503.2	Pbr017624.1	III	V
Pbr038505.1	Pbr017626.1	III	V
Pbr038506.1	Pbr017627.1	III	V
Pbr020743.1	Pbr042765.1	III	V
Pbr020741.1	Pbr020718.1	IV	V
Pbr020738.1	Pbr020721.1	IV	V
Pbr020736.1	Pbr020723.1	IV	V
Pbr020733.1	Pbr020726.1	I	IV
Pbr010254.1	Pbr010275.2	IV	V
Pbr010255.2	Pbr010274.1	III	V
Pbr010256.1	Pbr010273.1	IV	V
Pbr010261.1	Pbr010267.1	IV	V
Pbr021621.1	Pbr021599.1	IV	V
Pbr021615.1	Pbr021602.1	III	V
Pbr021614.1	Pbr021603.1	III	V
Pbr021613.1	Pbr021604.1	I	V
Pbr021611.1	Pbr021606.1	II	V
Pbr021610.1	Pbr021607.1	I	V
Pbr026294.1	Pbr026311.1	I	V
Pbr026295.1	Pbr026310.1	I	V
Pbr026299.1	Pbr026306.1	IV	V
Pbr026301.1	Pbr026304.2	III	V
Pbr009938.1	Pbr042225.1	III	V
Pbr036333.1	Pbr009827.1	IV	V
Pbr034617.1	Pbr039425.1	I	V
Pbr034619.1	Pbr039423.2	III	V
Pbr034621.1	Pbr039421.2	IV	V
Pbr002299.1	Pbr002304.1	IV	V
Pbr021426.1	Pbr031475.1	IV	V
Pbr021425.1	Pbr031476.1	III	IV
Pbr021424.1	Pbr031479.1	IV	V
Pbr021422.1	Pbr031480.1	III	V
Pbr021412.1	Pbr031489.1	III	V
Pbr021407.1	Pbr031492.4	IV	III
Pbr021406.1	Pbr031493.1	III	V
Pbr016172.1	Pbr038238.1	IV	V
Pbr016189.1	Pbr038252.1	IV	V
Pbr009029.1	Pbr004327.1	III	V
Pbr009050.1	Pbr004333.1	IV	V
Pbr009053.1	Pbr004334.1	III	V
Pbr009057.1	Pbr004345.1	IV	V
Pbr009072.1	Pbr004361.1	III	IV
Pbr011073.1	Pbr020673.1	III	IV
Pbr011065.1	Pbr020685.1	IV	V
Pbr011061.1	Pbr020693.1	IV	V
Pbr030431.1	Pbr002036.1	IV	V
Pbr030433.1	Pbr002037.1	IV	V
Pbr030437.2	Pbr002039.2	IV	V
Pbr021498.1	Pbr027908.1	IV	V
Pbr021493.1	Pbr027918.1	IV	V
Pbr021492.1	Pbr027919.1	III	IV
Pbr021489.1	Pbr027922.1	III	V
Pbr021486.1	Pbr027925.2	III	V
Pbr021484.1	Pbr027927.1	IV	V
Pbr021483.2	Pbr027928.1	IV	V
Pbr016222.1	Pbr017391.1	IV	III
Pbr016223.1	Pbr017392.1	III	IV
Pbr016235.1	Pbr017399.1	III	V
Pbr016246.1	Pbr017408.1	IV	V
Pbr016253.1	Pbr017419.1	IV	V
Pbr016255.1	Pbr017422.1	IV	V
Pbr039626.1	Pbr021101.1	III	V
Pbr039624.1	Pbr021104.1	II	IV
Pbr039623.1	Pbr021105.1	IV	V
Pbr012458.1	Pbr016954.1	III	V
Pbr022351.1	Pbr022142.1	III	IV
Pbr022352.1	Pbr022140.1	III	IV
Pbr022362.1	Pbr022131.1	IV	V
Pbr022351.1	Pbr029428.1	III	V
Pbr022352.1	Pbr029426.1	III	V
Pbr022361.1	Pbr029421.1	IV	V
Pbr022362.1	Pbr029418.1	IV	V
Pbr015820.1	Pbr005884.1	IV	V
Pbr011069.1	Pbr033163.1	IV	V
Pbr011065.1	Pbr033159.1	III	V
Pbr011064.1	Pbr033158.1	IV	V
Pbr011056.1	Pbr033147.1	III	V
Pbr011055.1	Pbr033146.1	IV	V
Pbr011050.1	Pbr033133.1	III	II
