Gene_id	DAF15-1_count	DAF15-2_count	DAF25-1_count	DAF25-2_count	DAF55-1_count	DAF55-2_count	DAF85-1_count	DAF85-2_count	DAF115-1_count	DAF115-2_count	DAF145-1_count	DAF145-2_count	Mean	Median	Variance	CV2
Pbr_miRNA85	17	28	10	18	1	7	6	3	25	22	219	109	38.75	35	4047.65909090909	2.69563144451802
Pbr_miRNA116	6	11	19	19	17	17	20	20	21	13	18	9	15.8333333333333	35	23.969696969697	0.0956131956685973
Pbr_miRNA55	43	138	27	55	27	41	50	68	56	60	507	346	118.166666666667	111	22738.3333333333	1.62842836709563
Pbr_miRNA133	290	252	333	194	153	195	88	92	94	77	74	57	158.25	247	8794.93181818182	0.351192343914879
Pbr_miRNA117	79	79	53	69	52	59	98	66	41	43	35	39	59.4166666666667	112	373.537878787879	0.105807896518975
Pbr_miRNA212	24	30	36	48	29	27	23	26	28	26	9	20	27.1666666666667	53	85.0606060606061	0.115253935721398
Pbr_miRNA143	0	0	1	1	0	0	0	0	0	0	0	0	0.166666666666667	0	0.151515151515151	5.45454545454545
Pbr_miRNA96	2	1	2	2	4	2	3	6	6	6	23	5	5.16666666666667	7	34.8787878787879	1.30659351054772
Pbr_miRNA51	0	0	0	0	0	4	19	11	3	6	11	9	5.25	7	37.6590909090909	1.36631622345908
Pbr_miRNA156	11174	10988	8606	7541	3165	3088	2141	2584	2372	2953	3060	4336	5167.33333333333	6253	11766666.0606061	0.440677089711484
Pbr_miRNA8	6	9	16	11	5	5	2	2	0	0	0	1	4.75	7	25.6590909090909	1.1372450264417
Pbr_miRNA100	96	65	69	74	50	43	74	89	38	46	44	30	59.8333333333333	115	441.787878787879	0.123403477908797
Pbr_miRNA135	19	15	93	87	87	88	284	287	217	267	276	245	163.75	310	11632.0227272727	0.433803073565325
Pbr_miRNA81	6	8	18	6	31	26	27	21	13	8	24	36	18.6666666666667	39	108.242424242424	0.310644712430427
Pbr_miRNA145	682	645	518	479	309	354	205	140	52	41	20	37	290.166666666667	514	59739.0606060606	0.709517885473262
Pbr_miRNA179	118	134	92	101	50	46	42	45	50	43	54	61	69.6666666666667	104	1063.15151515152	0.21905092915372
Pbr_miRNA5	309	374	456	330	337	274	679	727	493	568	533	392	456	848	21691.0909090909	0.104316188197767
Pbr_miRNA12	0	2	3	2	2	0	0	0	0	0	0	0	0.75	0	1.29545454545455	2.3030303030303
Pbr_miRNA204	1	0	0	2	4	4	5	5	8	7	20	14	5.83333333333333	9	35.2424242424242	1.03569573283859
Pbr_miRNA118	2012	2028	4550	3986	5196	5255	5998	6566	10208	9622	14404	12881	6892.16666666667	11253	16237401.2424242	0.341825911544728
Pbr_miRNA164	78	86	102	80	75	60	107	171	198	181	321	406	155.416666666667	209	11835.3560606061	0.489988793918528
Pbr_miRNA42	229	231	93	146	74	64	87	90	73	51	71	68	106.416666666667	161	3882.62878787879	0.342851905776218
Pbr_miRNA66	254	304	301	261	373	339	582	512	271	264	290	316	338.916666666667	605	10844.6287878788	0.094412356578729
Pbr_miRNA180	4318	4091	6903	6693	16160	13386	57572	60631	56460	57241	60265	56265	33332.0833333333	72425	680760343.901515	0.612730263419468
Pbr_miRNA19	520	656	824	721	740	746	805	874	272	294	440	443	611.25	1377	43847.2954545455	0.117355937332602
Pbr_miRNA141	1	16	0	0	6	4	1	1	37	18	28	50	13.5	10	281.909090909091	1.54682628756703
Pbr_miRNA49	0	0	0	0	2	1	6	6	8	4	10	8	3.75	6	13.8409090909091	0.984242424242424
Pbr_miRNA37	8	4	20	17	16	14	24	20	43	37	67	56	27.1666666666667	40	380.333333333333	0.515337423312883
Pbr_miRNA131	99	126	15	16	11	26	29	29	41	41	31	28	41	58	1233.81818181818	0.733978692336812
Pbr_miRNA27	683	775	771	662	402	468	591	694	628	672	766	701	651.083333333333	1355	13504.9924242424	0.031858196626886
Pbr_miRNA74	23	41	91	97	239	274	294	291	1243	956	2697	2476	726.833333333333	565	895194.878787879	1.69452474991686
Pbr_miRNA97	22	24	178	197	223	214	180	176	113	80	61	43	125.916666666667	289	5902.99242424242	0.372310932749911
Pbr_miRNA18	13	16	32	33	38	52	104	95	98	98	97	69	62.0833333333333	121	1241.17424242424	0.322019892633829
Pbr_miRNA158	113	108	411	364	675	549	832	925	745	769	730	812	586.083333333333	1405	77039.1742424242	0.224281202714798
Pbr_miRNA48	0	0	0	0	5	2	17	11	4	4	8	8	4.91666666666667	8	28.0833333333333	1.1617351335823
Pbr_miRNA73	11	18	49	54	298	369	749	828	6243	5240	16924	15167	3829.16666666667	1118	37129037.969697	2.53224170551866
Pbr_miRNA169	1	0	1	1	3	1	3	3	9	11	15	15	5.25	6	32.0227272727273	1.16182230467945
Pbr_miRNA215	0	0	2	0	1	1	2	2	10	4	4	11	3.08333333333333	4	13.9015151515151	1.46224848927552
Pbr_miRNA190	10	6	2	6	0	1	0	0	0	0	0	0	2.08333333333333	0	11.3560606060606	2.61643636363636
Pbr_miRNA209	0	0	0	0	0	0	1	0	0	0	0	0	0.0833333333333333	0	0.0833333333333333	12
Pbr_miRNA142	30	55	11	95	78	57	108	129	721	952	349	816	283.416666666667	203	118237.356060606	1.47198687629598
Pbr_miRNA213	44	46	59	58	56	57	39	38	44	50	22	26	44.9166666666667	90	148.44696969697	0.0735794095310275
Pbr_miRNA120	0	2	1	0	3	1	9	12	60	77	206	253	52	12	7615.09090909091	2.816231845078
Pbr_miRNA132	10	13	5	5	2	2	10	4	6	5	17	18	8.08333333333333	11	30.2651515151515	0.463192881090638
Pbr_miRNA111	0	0	1	1	8	0	0	2	4	2	12	10	3.33333333333333	3	18.2424242424242	1.64181818181818
Pbr_miRNA16	59	63	51	66	67	57	32	42	45	36	18	19	46.25	96	297.295454545455	0.138983996281294
Pbr_miRNA46	224	245	107	163	66	57	88	91	69	69	66	69	109.5	157	4236.81818181818	0.353355282985608
Pbr_miRNA124	205	310	44	36	2	3	1	1	1	2	1	1	50.5833333333333	4	10061.3560606061	3.93225459351843
Pbr_miRNA152	1551	3235	504	511	256	373	589	527	390	319	198	185	719.833333333333	894	756786.151515151	1.46052592045891
Pbr_miRNA20	131	186	310	318	491	462	1427	1439	1328	1108	1715	1567	873.5	1599	367499.181818182	0.481648883496978
Pbr_miRNA189	0	0	1	1	0	3	1	0	1	1	0	0	0.666666666666667	1	0.787878787878788	1.77272727272727
Pbr_miRNA69	57596	50159	83707	77694	86369	71583	125226	135019	65002	90567	81161	99665	85312.3333333333	164868	634671498.424242	0.0872017810113925
Pbr_miRNA30	40	21	54	46	43	32	38	47	20	28	27	32	35.6666666666667	70	115.515151515152	0.0908058663321132
Pbr_miRNA148	2366	2646	2737	2627	2168	2035	2924	2516	1913	2069	1822	1270	2257.75	4534	219704.022727273	0.0431008968301639
Pbr_miRNA62	0	0	0	0	3	6	1	1	0	0	22	13	3.83333333333333	1	47.6060606060606	3.23973191269978
Pbr_miRNA138	20975	20046	25734	26899	41214	41011	87219	89700	99608	98360	141125	136681	69047.6666666667	128433	2022251723.69697	0.424167315131855
Non-unique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Pbr_miRNA75	9	26	62	69	355	362	769	821	6322	5145	17092	15380	3867.66666666667	1131	37922296.4242424	2.53510851255746
Pbr_miRNA216	1	0	1	1	4	8	7	7	25	17	33	34	11.5	14	159.363636363636	1.20501804433752
Pbr_miRNA194	0	0	0	2	0	0	0	1	0	0	0	0	0.25	0	0.386363636363636	6.18181818181818
Pbr_miRNA112	0	5	24	19	79	73	45	39	35	41	367	188	76.25	80	10840.75	1.86457403923676
Pbr_miRNA184	0	0	2	1	12	7	45	28	169	174	262	253	79.4166666666667	40	10801.1742424242	1.71256736159749
Pbr_miRNA217	0	0	3	1	2	4	1	4	27	6	26	36	9.16666666666667	7	161.424242424242	1.9210818933133
Pbr_miRNA129	0	1	2	2	13	8	23	21	8	8	14	7	8.91666666666667	16	57.3560606060606	0.721396866737071
Pbr_miRNA151	4094	4072	6559	6573	16140	13587	57122	60752	56642	56961	60641	56225	33280.6666666667	72365	683511026.606061	0.61710844608556
Pbr_miRNA199	7	24	36	28	39	44	132	118	185	179	238	163	99.4166666666667	162	6216.81060606061	0.628997966815875
Pbr_miRNA200	2035	1900	4625	4050	5223	5243	5982	6429	10114	9599	14450	12867	6876.41666666667	11225	16254927.719697	0.343764221656089
Pbr_miRNA68	17	27	2	4	0	2	7	1	0	0	0	1	5.08333333333333	3	71.1742424242424	2.75439153697686
Pbr_miRNA160	113	132	374	363	649	558	834	932	698	758	657	792	571.666666666667	1306	72511.8787878788	0.221882688026557
Pbr_miRNA90	11103	11270	8331	7790	3210	3044	2136	2578	2411	2902	2983	4413	5180.91666666667	6254	11969308.9924242	0.445918884435334
Pbr_miRNA71	2250	2806	2714	2735	2243	2011	2859	2481	1985	2022	1812	1271	2265.75	4493	228235.113636364	0.0444588764811292
Pbr_miRNA7	78	114	79	43	29	54	41	31	21	10	12	19	44.25	72	1010.75	0.516199048804622
Pbr_miRNA155	11355	11330	8383	7781	3231	3036	2182	2497	2330	2911	2979	4472	5207.25	6267	12378816.3863636	0.456522580909575
Pbr_miRNA32	421	768	1015	729	475	465	736	933	154	122	77	58	496.083333333333	940	116134.083333333	0.47190048458713
Pbr_miRNA136	13	7	12	15	14	11	25	23	30	31	86	60	27.25	38	545.840909090909	0.735077396301199
Pbr_miRNA218	0	0	1	1	0	1	3	0	8	11	4	11	3.33333333333333	2	18.2424242424242	1.64181818181818
Pbr_miRNA104	7	5	21	37	38	50	81	99	183	172	314	264	105.916666666667	131	10812.2651515152	0.963802566493101
Pbr_miRNA22	102	137	390	360	657	576	887	944	720	740	695	875	590.25	1352	80555.6590909091	0.231219290287471
Pbr_miRNA146	251	244	104	144	65	55	92	92	71	70	81	66	111.25	173	4600.56818181818	0.371716151541931
Pbr_miRNA98	336	331	382	421	401	334	431	382	131	218	157	164	307.333333333333	670	12040.7878787879	0.127478097351663
Pbr_miRNA29	23	26	50	34	66	64	98	118	137	134	202	320	106	164	7448.90909090909	0.66295025728988
Pbr_miRNA39	139	235	196	151	138	139	68	52	36	26	14	34	102.333333333333	206	5374.06060606061	0.513178340932482
Pbr_miRNA60	0	0	3	1	5	5	14	11	24	24	251	153	40.9166666666667	16	6168.08333333333	3.68425549918907
Pbr_miRNA153	121	143	393	353	665	545	890	938	679	810	729	753	584.916666666667	1344	75945.7196969697	0.22198074739808
Pbr_miRNA17	29	36	34	33	35	36	24	14	19	16	6	19	25.0833333333333	53	103.537878787879	0.164561699599944
Pbr_miRNA47	1952	2007	4547	4143	5087	5204	6288	6482	10299	9698	14035	12797	6878.25	11492	15757602.3863636	0.333069008333484
Pbr_miRNA170	0	1	1	0	0	3	4	2	24	26	114	101	23	5	1648.36363636364	3.11599931259667
Pbr_miRNA83	479	315	1174	1269	2930	3121	10195	10011	19523	17495	30730	27239	10373.4166666667	13132	118911480.44697	1.10504545123285
Pbr_miRNA54	64	150	20	55	27	43	44	48	53	65	516	319	117	108	22511.0909090909	1.64446569574775
Pbr_miRNA38	134	234	180	151	107	143	69	58	25	18	22	25	97.1666666666667	176	5154.33333333333	0.545931171647214
Pbr_miRNA109	7	13	26	14	9	11	15	10	13	20	27	18	15.25	27	40.75	0.175221714592851
Pbr_miRNA115	4	4	36	39	40	42	100	83	94	105	83	68	58.1666666666667	110	1261.42424242424	0.37283169043992
Pbr_miRNA53	111	97	137	119	120	115	157	105	53	62	51	52	98.25	216	1280.02272727273	0.132602759722391
Pbr_miRNA99	710	991	292	622	429	514	1209	1220	406	417	460	427	641.416666666667	974	104756.083333333	0.254623668778623
Pbr_miRNA28	3251	5350	13176	10949	12033	14576	20317	19249	11106	8715	15681	14739	12428.5	25209	25641039	0.16599621517099
Pbr_miRNA84	94	77	61	56	35	37	38	24	16	10	18	12	39.8333333333333	72	729.060606060606	0.459483934423099
Pbr_miRNA147	4	12	15	11	25	38	50	39	65	87	252	181	64.9166666666667	77	5825.90151515151	1.38245408300002
Unaligned	8201081	8390453	8622125	8636709	8111175	7724524	7775854	7486845	6683227	7050613	7610310	7156626	7787461.83333333	15500378	394857864764.697	0.0065110185152345
Pbr_miRNA92	1	4	5	8	10	11	11	18	25	23	25	28	14.0833333333333	22	86.8106060606061	0.437685209646976
Pbr_miRNA220	15	7	13	11	13	17	30	22	44	43	63	57	27.9166666666667	39	368.810606060606	0.473234370886409
Pbr_miRNA113	10	25	25	13	2	0	0	1	0	0	6	2	7	4	88.7272727272727	1.81076066790353
Pbr_miRNA137	17107	16315	16908	16847	21663	22995	45153	52004	51151	50913	73660	73657	38197.75	68148	492789629.477273	0.337742719320264
Pbr_miRNA79	1744	1732	1879	1920	1735	1464	1890	2120	534	499	957	903	1448.08333333333	3467	325499.356060606	0.155225484331169
Pbr_miRNA122	237	253	98	155	52	58	91	98	62	62	81	51	108.166666666667	172	4928.15151515151	0.421208531189277
Pbr_miRNA87	26	30	27	40	33	34	58	54	114	90	208	155	72.4166666666667	94	3444.08333333333	0.656744720662216
Pbr_miRNA154	4	7	6	7	14	8	15	27	23	30	19	25	15.4166666666667	29	84.2651515151515	0.354541470217146
Pbr_miRNA105	27	30	35	11	11	14	5	8	11	8	13	15	15.6666666666667	24	92.2424242424243	0.37581793489444
Pbr_miRNA130	95	138	17	14	21	27	30	31	38	33	44	19	42.25	61	1363.11363636364	0.763622358524498
Pbr_miRNA119	26	41	77	83	52	69	55	47	83	70	267	202	89.3333333333333	139	5090.06060606061	0.637816683205411
Pbr_miRNA181	1653	1729	1470	1319	975	1029	966	991	978	914	1032	1222	1189.83333333333	2061	82632.8787878788	0.0583687805353691
Pbr_miRNA57	40	37	48	45	50	59	86	93	133	111	142	166	84.1666666666667	145	2004.15151515152	0.282911301031093
Pbr_miRNA140	33	67	22	85	105	50	128	116	771	920	340	778	284.583333333333	221	113320.446969697	1.39923079546453
Pbr_miRNA65	9	15	11	13	14	14	29	21	40	39	84	59	29	36	530.545454545455	0.630850718841206
Pbr_miRNA103	93	82	63	72	53	46	89	86	47	34	39	38	61.8333333333333	116	474.333333333333	0.124061871099454
Pbr_miRNA72	31	37	94	105	203	244	294	306	1276	985	2644	2682	741.75	538	952995.659090909	1.73211136970835
Pbr_miRNA192	6	2	5	3	3	7	1	1	4	3	1	3	3.25	6	3.84090909090909	0.363636363636364
Pbr_miRNA177	0	1	1	0	2	0	5	3	36	29	130	83	24.1666666666667	5	1723.42424242424	2.95092854826505
Pbr_miRNA121	0	2	0	1	3	0	12	9	67	90	195	257	53	12	7563.09090909091	2.69244959383799
Pbr_miRNA176	0	2	0	0	1	0	2	2	0	2	4	2	1.25	3	1.65909090909091	1.06181818181818
Pbr_miRNA114	4163	4161	6509	6502	16418	13425	58014	60680	57099	57385	60376	56288	33418.3333333333	72706	689297257.515152	0.617215718155834
Pbr_miRNA208	0	0	6	4	41	53	21	22	1	1	1	0	12.5	5	326.818181818182	2.09163636363636
Pbr_miRNA168	0	0	1	1	2	0	1	8	10	10	11	7	4.25	3	20.3863636363636	1.12865681031771
Pbr_miRNA182	3	11	20	15	20	14	27	24	36	35	66	67	28.1666666666667	44	409.242424242424	0.515833733858313
Pbr_miRNA159	3	6	13	15	10	11	20	14	25	25	19	24	15.4166666666667	29	53.719696969697	0.226022976293247
Pbr_miRNA191	12	9	8	10	8	6	2	3	0	1	0	1	5	9	18.5454545454545	0.741818181818182
Pbr_miRNA14	12	18	41	18	158	186	372	353	369	330	514	707	256.5	516	49511.3636363636	0.752540970043792
Pbr_miRNA6	57	31	53	126	184	168	17	4	11	9	37	23	60	68	4016.36363636364	1.11565656565657
Pbr_miRNA44	222	310	42	27	5	5	4	2	2	0	3	1	51.9166666666667	9	10510.6287878788	3.89955541960159
Pbr_miRNA61	0	1	26	9	79	57	45	52	43	38	386	193	77.4166666666667	88	12054.0833333333	2.01124627914549
Pbr_miRNA226	10	9	17	14	13	10	22	21	43	40	86	75	30	38	684.545454545455	0.760606060606061
Pbr_miRNA78	78	114	70	49	46	52	49	40	16	22	13	16	47.0833333333333	95	887.719696969697	0.400443688193708
Pbr_miRNA43	277	374	43	42	14	19	2	3	3	2	3	3	65.4166666666667	17	15406.0833333333	3.60010710373646
Pbr_miRNA13	1	2	4	3	0	1	0	0	0	0	0	0	0.916666666666667	0	1.90151515151515	2.26296018031555
Pbr_miRNA125	21	42	35	24	27	19	33	19	24	21	14	37	26.3333333333333	48	73.3333333333333	0.105752283287935
Pbr_miRNA35	1	5	41	31	33	54	36	22	83	68	116	74	47	77	1126.36363636364	0.509897526647187
Pbr_miRNA167	1	4	35	29	47	43	61	63	102	94	177	167	68.5833333333333	108	3258.62878787879	0.692783780783852
Pbr_miRNA193	0	0	1	1	0	0	0	0	0	0	0	0	0.166666666666667	0	0.151515151515151	5.45454545454545
Pbr_miRNA207	0	1	5	1	36	52	25	28	0	1	0	0	12.4166666666667	2	326.083333333333	2.11503986306923
Pbr_miRNA25	3	3	13	8	11	19	14	23	28	23	19	23	15.5833333333333	33	67.9015151515152	0.279613891784672
Pbr_miRNA102	255	244	330	254	326	299	520	525	370	422	411	497	371.083333333333	700	10741.7196969697	0.0780065224166853
Pbr_miRNA86	422	327	401	414	393	348	377	365	159	223	178	185	316	713	10069.4545454545	0.100839754701315
Pbr_miRNA9	7	5	4	6	6	9	5	5	2	2	1	2	4.5	10	5.72727272727273	0.282828282828283
Pbr_miRNA70	28	38	79	55	118	82	56	48	79	77	153	212	85.4166666666667	156	2777.53787878788	0.380692877616138
Pbr_miRNA91	6	5	10	8	13	17	25	18	24	22	22	23	16.0833333333333	35	54.6287878787879	0.21118809778908
Pbr_miRNA56	4191	4090	6690	6695	16043	13801	57264	60547	55941	56255	60569	56226	33192.6666666667	71984	674524723.515152	0.612228557376856
Pbr_miRNA195	60	89	26	31	58	61	187	140	98	121	193	175	103.25	187	3545.84090909091	0.332612928172496
Pbr_miRNA210	0	0	0	0	0	0	0	0	0	0	1	0	0.0833333333333333	0	0.0833333333333333	12
Pbr_miRNA123	264	324	36	29	3	13	3	2	1	0	5	6	57.1666666666667	11	12531.4242424242	3.83455254806478
Pbr_miRNA185	1	9	71	70	211	238	322	311	875	772	1349	1329	463.166666666667	549	244087.606060606	1.13781363855372
Pbr_miRNA31	23446	32586	30791	31084	12849	12369	18651	21519	12486	12553	7138	7588	18588.3333333333	31500	84597484.7878788	0.244836716955833
Pbr_miRNA21	37	76	100	111	101	104	140	127	168	150	107	137	113.166666666667	218	1224.87878787879	0.0956436333506919
Pbr_miRNA2	4269	4192	6849	6582	16158	13499	57530	60738	56464	56874	60132	56714	33333.4166666667	72622	680900786.44697	0.612807643760224
Pbr_miRNA101	253	244	362	248	325	325	477	511	382	418	392	527	372	744	9766	0.0705717423979651
Pbr_miRNA3	133	234	193	146	124	154	57	42	21	16	26	26	97.6666666666667	181	5699.87878787879	0.597548126255508
Pbr_miRNA95	0	1	9	14	24	32	76	59	99	109	331	214	80.6666666666667	91	10008.0606060606	1.53801901261091
